FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.7200E+02,5.4700E+02,6.0361E-02,-4.9862E-02,3.2330E+01,-1.1201E+01,3.2433E-02,2.9614E-04,-8.5349E-03,-7.1500E-02,3.2472E-02,9.6417E-02,0.0000E+00,4.0000E+00,1.1709E-01,0.0000E+00,0.0000E+00,0.0000E+00
1,3.7200E+02,5.4700E+02,-2.7671E-02,-4.6963E-02,3.2330E+01,-1.1201E+01,3.2433E-02,4.4004E-03,-3.7708E-03,-1.1796E-02,3.3342E-02,9.6761E-02,0.0000E+00,4.0000E+00,1.2023E-01,0.0000E+00,0.0000E+00,0.0000E+00
2,3.7200E+02,5.4700E+02,-6.0838E-02,-1.7028E-01,3.2330E+01,-1.1201E+01,3.2433E-02,6.5119E-04,-3.2921E-03,6.3227E-02,3.4146E-02,1.0433E-01,0.0000E+00,4.0000E+00,1.2313E-01,0.0000E+00,0.0000E+00,0.0000E+00
3,3.7200E+02,5.4700E+02,-2.8119E-03,-1.3662E-01,3.2330E+01,-1.1201E+01,3.2433E-02,-1.2543E-03,-7.3440E-03,1.6533E-02,3.5906E-02,9.7444E-02,0.0000E+00,4.0000E+00,1.2947E-01,0.0000E+00,0.0000E+00,0.0000E+00
4,3.7200E+02,5.4700E+02,-2.4373E-02,-1.6238E-02,3.2330E+01,-1.1201E+01,3.2433E-02,2.7114E-03,-4.8872E-03,2.3066E-03,3.5519E-02,1.0069E-01,0.0000E+00,4.0000E+00,1.2808E-01,0.0000E+00,0.0000E+00,0.0000E+00
5,3.7200E+02,5.4700E+02,-1.0270E-02,-1.4902E-01,3.2330E+01,-1.1201E+01,3.2433E-02,1.0345E-03,-5.8375E-03,1.3358E-03,3.5448E-02,9.2697E-02,0.0000E+00,4.0000E+00,1.2782E-01,0.0000E+00,0.0000E+00,0.0000E+00
6,3.7200E+02,5.4700E+02,-1.1414E-03,-3.2367E-02,3.2330E+01,-1.1201E+01,3.2433E-02,6.6947E-04,-5.7035E-03,-4.0634E-03,3.3139E-02,1.0980E-01,0.0000E+00,4.0000E+00,1.1950E-01,0.0000E+00,0.0000E+00,0.0000E+00
7,3.7200E+02,5.4700E+02,-9.3066E-03,-9.3913E-02,3.2330E+01,-1.1201E+01,3.2433E-02,-7.8543E-04,-1.0244E-03,1.7905E-02,3.3911E-02,1.0874E-01,0.0000E+00,4.0000E+00,1.2228E-01,0.0000E+00,0.0000E+00,0.0000E+00
8,3.7200E+02,5.4700E+02,-3.3333E-02,-1.1925E-01,3.2330E+01,-1.1201E+01,3.2433E-02,2.0967E-03,-6.4383E-03,1.8105E-02,3.2509E-02,9.8772E-02,0.0000E+00,4.0000E+00,1.1722E-01,0.0000E+00,0.0000E+00,0.0000E+00
9,3.7200E+02,5.4700E+02,1.1670E+00,2.0033E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-1.6885E-02,-4.5546E-02,-1.1533E+00,3.1576E-02,1.0186E-01,0.0000E+00,4.0000E+00,1.1386E-01,0.0000E+00,0.0000E+00,0.0000E+00
10,3.7200E+02,5.4700E+02,1.9914E+00,3.4333E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-3.5216E-02,-6.8704E-02,-1.9088E+00,3.2696E-02,1.0014E-01,0.0000E+00,4.0000E+00,1.1790E-01,0.0000E+00,0.0000E+00,0.0000E+00
11,3.7200E+02,5.4700E+02,2.8999E+00,3.9374E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-5.7852E-02,-1.4887E-01,-2.7168E+00,3.3958E-02,9.5748E-02,0.0000E+00,4.0000E+00,1.2245E-01,0.0000E+00,0.0000E+00,0.0000E+00
12,3.7200E+02,5.4700E+02,3.6660E+00,4.1408E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-7.9068E-02,-2.2920E-01,-3.3777E+00,3.2311E-02,1.0414E-01,0.0000E+00,4.0000E+00,1.1651E-01,0.0000E+00,0.0000E+00,0.0000E+00
13,3.7200E+02,5.4700E+02,3.7082E+00,4.2769E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-7.9971E-02,-2.2878E-01,-3.4167E+00,3.4438E-02,1.0446E-01,0.0000E+00,4.0000E+00,1.2418E-01,0.0000E+00,0.0000E+00,0.0000E+00
14,3.7200E+02,5.4700E+02,3.7807E+00,4.3814E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-8.4752E-02,-2.3006E-01,-3.4519E+00,3.4547E-02,9.8315E-02,0.0000E+00,4.0000E+00,1.2457E-01,0.0000E+00,0.0000E+00,0.0000E+00
15,3.7200E+02,5.4700E+02,3.8812E+00,4.4020E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-9.5644E-02,-2.2652E-01,-3.4603E+00,3.1594E-02,1.0002E-01,0.0000E+00,4.0000E+00,1.1393E-01,0.0000E+00,0.0000E+00,0.0000E+00
16,3.7200E+02,5.4700E+02,3.8738E+00,4.5297E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-9.5543E-02,-2.1992E-01,-3.4529E+00,3.1897E-02,1.0327E-01,0.0000E+00,4.0000E+00,1.1502E-01,0.0000E+00,0.0000E+00,0.0000E+00
17,3.7200E+02,5.4700E+02,3.8914E+00,4.5048E+00,3.2330E+01,-1.1201E+01,3.2433E-02,-9.5903E-02,-2.1933E-01,-3.4706E+00,2.9714E-02,1.0912E-01,0.0000E+00,4.0000E+00,1.0714E-01,0.0000E+00,0.0000E+00,0.0000E+00
