FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,2.9500E+02,9.4300E+02,1.8051E-03,8.2113E-03,4.2008E+01,1.2682E+01,-1.4435E-01,4.6179E-05,4.4136E-04,-2.3803E-03,2.3738E-02,2.7647E-02,0.0000E+00,4.0000E+00,8.6299E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,2.9500E+02,9.4300E+02,1.3050E-01,-2.6086E-01,4.2008E+01,1.2682E+01,-1.4435E-01,-1.5092E-02,-1.2390E-02,5.1110E-04,2.5077E-02,2.3897E-02,0.0000E+00,4.0000E+00,9.1165E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,2.9500E+02,9.4300E+02,-3.0020E-01,7.6773E-01,4.2008E+01,1.2682E+01,-1.4435E-01,3.5658E-02,3.7791E-02,-1.0777E-02,2.3385E-02,2.1730E-02,0.0000E+00,4.0000E+00,8.5015E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,2.9500E+02,9.4300E+02,-9.9947E-02,2.4970E-01,4.2008E+01,1.2682E+01,-1.4435E-01,1.2161E-02,1.5121E-02,-5.1570E-03,2.4561E-02,2.2152E-02,0.0000E+00,4.0000E+00,8.9290E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,2.9500E+02,9.4300E+02,-4.1302E-02,7.1984E-02,4.2008E+01,1.2682E+01,-1.4435E-01,5.3598E-03,8.4989E-03,-3.5172E-03,2.4299E-02,2.6050E-02,0.0000E+00,4.0000E+00,8.8339E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,2.9500E+02,9.4300E+02,1.6326E-02,5.2688E-02,4.2008E+01,1.2682E+01,-1.4435E-01,4.8405E-04,1.8712E-03,-2.2290E-02,2.3202E-02,2.5493E-02,0.0000E+00,4.0000E+00,8.4350E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,2.9500E+02,9.4300E+02,1.1652E-02,1.1592E-01,4.2008E+01,1.2682E+01,-1.4435E-01,-8.8949E-04,5.9862E-03,-5.2768E-03,2.4957E-02,2.5604E-02,0.0000E+00,4.0000E+00,9.0729E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,2.9500E+02,9.4300E+02,1.5772E-02,2.6644E-02,4.2008E+01,1.2682E+01,-1.4435E-01,-2.5586E-03,2.1019E-03,6.3689E-03,2.4941E-02,2.5714E-02,0.0000E+00,4.0000E+00,9.0673E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,2.9500E+02,9.4300E+02,-1.6885E-02,1.2867E-01,4.2008E+01,1.2682E+01,-1.4435E-01,5.5774E-04,7.0358E-03,1.1837E-02,2.2713E-02,2.7633E-02,0.0000E+00,4.0000E+00,8.2571E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,2.9500E+02,9.4300E+02,-3.4012E-01,8.7200E-01,4.2008E+01,1.2682E+01,-1.4435E-01,3.8505E-02,4.3436E-02,4.9612E-03,2.6083E-02,2.2222E-02,0.0000E+00,4.0000E+00,9.4824E-02,0.0000E+00,0.0000E+00,0.0000E+00
