BEGIN SUBSET_COORDINATES
    233 540
    264 540
    295 540
    326 540
    357 540
    388 540
    419 540
    450 540
    481 540
    512 540
    233 571
    264 571
    295 571
    326 571
    357 571
    388 571
    419 571
    450 571
    481 571
    512 571
    233 602
    264 602
    295 602
    326 602
    357 602
    388 602
    419 602
    450 602
    481 602
    512 602
    233 633
    264 633
    295 633
    326 633
    357 633
    388 633
    419 633
    450 633
    481 633
    512 633
    233 664
    264 664
    295 664
    326 664
    357 664
    388 664
    419 664
    450 664
    481 664
    512 664
    233 695
    264 695
    295 695
    326 695
    357 695
    388 695
    419 695
    450 695
    481 695
    512 695
    233 726
    264 726
    295 726
    326 726
    357 726
    388 726
    419 726
    450 726
    481 726
    512 726
    233 757
    264 757
    295 757
    326 757
    357 757
    388 757
    419 757
    450 757
    481 757
    512 757
    233 788
    264 788
    295 788
    326 788
    357 788
    388 788
    419 788
    450 788
    481 788
    512 788
    233 819
    264 819
    295 819
    326 819
    357 819
    388 819
    419 819
    450 819
    481 819
    512 819
    233 850
    264 850
    295 850
    326 850
    357 850
    388 850
    419 850
    450 850
    481 850
    512 850
    233 881
    264 881
    295 881
    326 881
    357 881
    388 881
    419 881
    450 881
    481 881
    512 881
    233 912
    264 912
    295 912
    326 912
    357 912
    388 912
    419 912
    450 912
    481 912
    512 912
    233 943
    264 943
    295 943
    326 943
    357 943
    388 943
    419 943
    450 943
    481 943
    512 943
    233 974
    264 974
    295 974
    326 974
    357 974
    388 974
    419 974
    450 974
    481 974
    512 974
    233 1005
    264 1005
    295 1005
    326 1005
    357 1005
    388 1005
    419 1005
    450 1005
    481 1005
    512 1005
    233 1036
    264 1036
    295 1036
    326 1036
    357 1036
    388 1036
    419 1036
    450 1036
    481 1036
    512 1036
    233 1067
    264 1067
    295 1067
    326 1067
    357 1067
    388 1067
    419 1067
    450 1067
    481 1067
    512 1067
    233 1098
    264 1098
    295 1098
    326 1098
    357 1098
    388 1098
    419 1098
    450 1098
    481 1098
    512 1098
    233 1129
    264 1129
    295 1129
    326 1129
    357 1129
    388 1129
    419 1129
    450 1129
    481 1129
    512 1129
END
