FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.3900E+02,8.5100E+02,2.8870E-03,4.6445E-02,6.5581E+00,-6.6427E+00,-3.9865E-02,-3.2812E-04,-3.5286E-04,-9.0929E-03,1.6858E-02,8.7936E-03,0.0000E+00,4.0000E+00,1.2144E-01,0.0000E+00,0.0000E+00,0.0000E+00
1,4.3900E+02,8.5100E+02,-3.0048E-02,4.5603E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-2.3049E-03,-1.9693E-02,8.3138E-03,1.7294E-02,1.3594E-02,0.0000E+00,4.0000E+00,1.2459E-01,0.0000E+00,0.0000E+00,0.0000E+00
2,4.3900E+02,8.5100E+02,-2.9569E-02,5.1013E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-2.7741E-03,-2.1761E-02,9.6592E-04,1.7796E-02,1.4249E-02,0.0000E+00,4.0000E+00,1.2820E-01,0.0000E+00,0.0000E+00,0.0000E+00
3,4.3900E+02,8.5100E+02,-4.0428E-02,5.5004E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-3.6732E-03,-2.3618E-02,3.9413E-03,1.7229E-02,1.3066E-02,0.0000E+00,4.0000E+00,1.2412E-01,0.0000E+00,0.0000E+00,0.0000E+00
4,4.3900E+02,8.5100E+02,-3.1165E-02,5.7821E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-2.8858E-03,-2.5585E-02,1.4527E-03,1.8165E-02,1.2964E-02,0.0000E+00,4.0000E+00,1.3086E-01,0.0000E+00,0.0000E+00,0.0000E+00
5,4.3900E+02,8.5100E+02,-5.0638E-02,6.1477E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-4.5518E-03,-2.7652E-02,6.3520E-03,1.7715E-02,1.4636E-02,0.0000E+00,4.0000E+00,1.2762E-01,0.0000E+00,0.0000E+00,0.0000E+00
6,4.3900E+02,8.5100E+02,-5.0534E-02,6.7007E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-4.8494E-03,-2.9233E-02,1.7013E-03,1.7458E-02,1.3365E-02,0.0000E+00,4.0000E+00,1.2577E-01,0.0000E+00,0.0000E+00,0.0000E+00
7,4.3900E+02,8.5100E+02,-6.0881E-02,6.7385E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-5.1115E-03,-3.0939E-02,1.2997E-02,1.8174E-02,1.4356E-02,0.0000E+00,4.0000E+00,1.3092E-01,0.0000E+00,0.0000E+00,0.0000E+00
8,4.3900E+02,8.5100E+02,-6.4546E-02,7.2268E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-5.7793E-03,-3.2607E-02,8.8037E-03,1.7222E-02,1.3664E-02,0.0000E+00,4.0000E+00,1.2407E-01,0.0000E+00,0.0000E+00,0.0000E+00
9,4.3900E+02,8.5100E+02,-6.8040E-02,7.7377E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-6.3777E-03,-3.4330E-02,5.2735E-03,1.7355E-02,1.4925E-02,0.0000E+00,4.0000E+00,1.2503E-01,0.0000E+00,0.0000E+00,0.0000E+00
10,4.3900E+02,8.5100E+02,-7.4831E-02,8.0170E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-6.6595E-03,-3.6553E-02,1.1055E-02,1.8076E-02,1.5111E-02,0.0000E+00,4.0000E+00,1.3022E-01,0.0000E+00,0.0000E+00,0.0000E+00
11,4.3900E+02,8.5100E+02,-7.1759E-02,8.6240E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-6.7999E-03,-3.8251E-02,4.2891E-03,1.7058E-02,1.3931E-02,0.0000E+00,4.0000E+00,1.2289E-01,0.0000E+00,0.0000E+00,0.0000E+00
12,4.3900E+02,8.5100E+02,-7.1646E-02,9.0609E-01,6.5581E+00,-6.6427E+00,-3.9865E-02,-6.7864E-03,-4.0172E-02,4.0343E-03,1.7984E-02,1.3855E-02,0.0000E+00,4.0000E+00,1.2956E-01,0.0000E+00,0.0000E+00,0.0000E+00
