BEGIN SUBSET_COORDINATES
    377 572
    408 572
    439 572
    470 572
    501 572
    532 572
    563 572
    594 572
    625 572
    656 572
    377 603
    408 603
    439 603
    470 603
    501 603
    532 603
    563 603
    594 603
    625 603
    656 603
    377 634
    408 634
    439 634
    470 634
    501 634
    532 634
    563 634
    594 634
    625 634
    656 634
    377 665
    408 665
    439 665
    470 665
    501 665
    532 665
    563 665
    594 665
    625 665
    656 665
    377 696
    408 696
    439 696
    470 696
    501 696
    532 696
    563 696
    594 696
    625 696
    656 696
    377 727
    408 727
    439 727
    470 727
    501 727
    532 727
    563 727
    594 727
    625 727
    656 727
    377 758
    408 758
    439 758
    470 758
    501 758
    532 758
    563 758
    594 758
    625 758
    656 758
    377 789
    408 789
    439 789
    470 789
    501 789
    532 789
    563 789
    594 789
    625 789
    656 789
    377 820
    408 820
    439 820
    470 820
    501 820
    532 820
    563 820
    594 820
    625 820
    656 820
    377 851
    408 851
    439 851
    470 851
    501 851
    532 851
    563 851
    594 851
    625 851
    656 851
    377 882
    408 882
    439 882
    470 882
    501 882
    532 882
    563 882
    594 882
    625 882
    656 882
    377 913
    408 913
    439 913
    470 913
    501 913
    532 913
    563 913
    594 913
    625 913
    656 913
END
