FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,-1.0724E-03,-4.8897E-03,-4.0297E-03,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,-2.2682E-03,-2.5100E-03,-1.4601E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,7.5541E-03,-5.8391E-03,5.9654E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
3,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,2.0907E-03,-3.6829E-03,1.8107E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
4,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,7.4530E-04,-2.3824E-03,7.2825E-03,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
5,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,5.8696E-03,-4.6343E-03,4.6426E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
6,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,2.5307E-03,-9.2452E-04,1.9187E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,3.0177E-03,-3.1071E-03,2.4427E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
8,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,4.3698E-03,-4.0520E-03,3.5026E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
9,6.4000E+02,4.8000E+02,0.0000E+00,0.0000E+00,4.1684E+01,-5.4836E+01,3.4656E+02,2.6579E-03,-3.8385E-03,2.2367E-02,-1.0000E+00,-1.0000E+00,-1.0000E+00,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
