BEGIN SUBSET_COORDINATES
    304 416
    335 416
    366 416
    397 416
    428 416
    459 416
    490 416
    304 447
    335 447
    366 447
    397 447
    428 447
    459 447
    490 447
    304 478
    335 478
    366 478
    397 478
    428 478
    459 478
    490 478
    304 509
    335 509
    366 509
    397 509
    428 509
    459 509
    490 509
    304 540
    335 540
    366 540
    397 540
    428 540
    459 540
    490 540
    304 571
    335 571
    366 571
    397 571
    428 571
    459 571
    490 571
    304 602
    335 602
    366 602
    397 602
    428 602
    459 602
    490 602
    304 633
    335 633
    366 633
    397 633
    428 633
    459 633
    490 633
    304 664
    335 664
    366 664
    397 664
    428 664
    459 664
    490 664
    304 695
    335 695
    366 695
    397 695
    428 695
    459 695
    490 695
END
