Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
19.1771,0,0,0,0,2147483647
19.1771,1.67378,1.5261,1.52553,0.197563,0
19.1771,1.43989,1.39234,1.39217,0.04303,0
19.1771,1.39418,1.3407,1.34052,0.008213,0
19.1771,1.43686,1.36995,1.36971,0.062442,0
19.1771,1.42057,1.35545,1.35512,0.02846,0
19.1771,1.53025,1.44837,1.44819,0.008628,0
19.1771,1.61217,1.52583,1.52553,0.062808,0
19.1771,1.53716,1.48035,1.48008,0.016619,0
19.1771,1.55756,1.46141,1.46124,0.079964,0
19.1771,1.49932,1.4583,1.45813,0.008729,0
19.1771,1.40467,1.30592,1.30575,0.008269,0
19.1771,1.50083,1.40018,1.40002,0.01279,0
19.1771,1.45247,1.37236,1.37219,0.025302,0
19.1771,1.50717,1.44161,1.44141,0.075784,0
19.1771,1.53247,1.4986,1.49841,0.08348,0
19.1771,1.50758,1.35057,1.35035,0.00831,0
19.1771,1.46445,1.35604,1.35583,0.026451,0
19.1771,1.47587,1.40462,1.4044,0.061771,0
19.1771,1.41784,1.36751,1.36734,0.012936,0
19.1771,1.57689,1.46297,1.46268,0.067005,0
19.1771,1.409,1.37799,1.37783,0.021543,0
19.1771,1.50274,1.37562,1.37541,0.042697,0
19.1771,1.43721,1.37955,1.37929,0.063649,0
19.1771,1.41262,1.3518,1.35154,0.029664,0
19.1771,1.44631,1.40388,1.40368,0.019812,0
19.1771,1.50601,1.4409,1.44073,0.028065,0
19.1771,1.62974,1.51314,1.51287,0.073487,0
19.1771,1.56411,1.52786,1.5277,0.008282,0
19.1771,1.67055,1.58655,1.58636,0.015302,0
19.1771,1.68835,1.56001,1.55985,0.055892,0
19.1771,1.6285,1.57555,1.57519,0.054882,0
19.1771,1.64542,1.59045,1.59021,0.058724,0
19.1771,1.58961,1.5166,1.51643,0.008793,0
19.1771,1.66425,1.55079,1.55053,0.072208,0
19.1771,1.5792,1.5341,1.53388,0.018252,0
19.1771,1.60348,1.53209,1.53192,0.01434,0
19.1771,1.52859,1.46535,1.46517,0.016906,0
19.1771,1.56997,1.46581,1.46564,0.082227,0
19.1771,1.50248,1.44844,1.44814,0.063146,0
19.1771,1.43176,1.39993,1.39977,0.00824,0
19.1771,1.46167,1.33285,1.33268,0.00857,0
19.1771,1.48048,1.3617,1.36147,0.022741,0
19.1771,1.47324,1.38978,1.38961,0.00856,0
19.1771,1.51576,1.40827,1.4081,0.054236,0
19.1771,1.3942,1.33418,1.33399,0.008801,0
19.1771,1.48498,1.36167,1.36149,0.069675,0
19.1771,1.43881,1.38078,1.38057,0.063036,0
19.1771,1.39716,1.35017,1.34997,0.008348,0
19.1771,1.48501,1.37032,1.37011,0.04159,0
19.1771,1.4342,1.37809,1.37778,0.008432,0
19.1771,1.55754,1.4489,1.44863,0.073413,0
19.1771,1.44575,1.40319,1.40303,0.023222,0
19.1771,1.39132,1.35264,1.35241,0.010414,0
19.1771,1.44441,1.35787,1.35764,0.014917,0
19.1771,1.70526,1.60551,1.60531,0.110977,0
19.1771,1.6959,1.56006,1.55987,0.092384,0
19.1771,1.5819,1.52098,1.52079,0.01592,0
19.1771,1.49212,1.38163,1.38139,0.01952,0
19.1771,1.56426,1.45002,1.4498,0.057507,0
19.1771,1.40968,1.36714,1.36692,0.018986,0
19.1771,1.53734,1.45927,1.45891,0.074115,0
