FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.9000E+02,5.0900E+02,-3.5455E-03,7.9480E-03,1.6088E+01,-1.1539E+01,-9.4047E-02,1.1530E-04,1.0105E-03,2.4772E-03,1.6597E-02,3.6581E-02,0.0000E+00,4.0000E+00,4.9234E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,4.9000E+02,5.0900E+02,3.8136E-02,-6.2011E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-3.5253E-03,-4.0418E-03,-1.7290E-03,1.8020E-02,3.6910E-02,0.0000E+00,4.0000E+00,5.3454E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,4.9000E+02,5.0900E+02,-8.2508E-03,-3.0411E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.9317E-03,1.5551E-03,3.1206E-02,1.7137E-02,3.8643E-02,0.0000E+00,4.0000E+00,5.0834E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,4.9000E+02,5.0900E+02,-1.8207E-03,-1.5015E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.3454E-03,1.5538E-03,1.7179E-02,1.9391E-02,3.9866E-02,0.0000E+00,4.0000E+00,5.7520E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,4.9000E+02,5.0900E+02,-1.8726E-02,-8.5488E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.5550E-04,-7.9700E-04,2.2500E-02,1.8276E-02,3.9008E-02,0.0000E+00,4.0000E+00,5.4214E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,4.9000E+02,5.0900E+02,7.7442E-03,-1.9088E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-2.8479E-03,1.2689E-03,2.3882E-02,1.8084E-02,3.7448E-02,0.0000E+00,4.0000E+00,5.3645E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,4.9000E+02,5.0900E+02,5.0379E-03,-7.2774E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.4727E-03,-1.3364E-03,1.1096E-02,1.6803E-02,3.7893E-02,0.0000E+00,4.0000E+00,4.9843E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,4.9000E+02,5.0900E+02,4.2516E-03,-6.1307E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.9254E-03,-4.1745E-04,1.7132E-02,1.6750E-02,3.7511E-02,0.0000E+00,4.0000E+00,4.9685E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,4.9000E+02,5.0900E+02,3.3662E-03,-3.0228E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.9925E-03,1.7586E-03,1.8605E-02,1.8125E-02,3.8942E-02,0.0000E+00,4.0000E+00,5.3766E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,4.9000E+02,5.0900E+02,4.1533E-04,-4.1201E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.5637E-03,9.4123E-04,1.7085E-02,1.8771E-02,3.5367E-02,0.0000E+00,4.0000E+00,5.5682E-02,0.0000E+00,0.0000E+00,0.0000E+00
10,4.9000E+02,5.0900E+02,-1.7064E-02,-5.4798E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-6.1918E-04,3.7555E-03,2.4990E-02,1.8599E-02,3.7610E-02,0.0000E+00,4.0000E+00,5.5172E-02,0.0000E+00,0.0000E+00,0.0000E+00
11,4.9000E+02,5.0900E+02,3.6292E-02,-6.6813E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-4.0535E-03,-8.9813E-04,5.5570E-03,1.9454E-02,4.0657E-02,0.0000E+00,4.0000E+00,5.7708E-02,0.0000E+00,0.0000E+00,0.0000E+00
12,4.9000E+02,5.0900E+02,-4.9628E+00,-1.3608E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-4.7985E-02,3.3096E-01,5.9057E+00,2.0117E-02,4.2198E-02,0.0000E+00,4.0000E+00,5.9675E-02,0.0000E+00,0.0000E+00,0.0000E+00
13,4.9000E+02,5.0900E+02,-9.2709E+00,-2.5164E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-7.0354E-02,5.9970E-01,1.0708E+01,2.2105E-02,5.0531E-02,0.0000E+00,4.0000E+00,6.5572E-02,0.0000E+00,0.0000E+00,0.0000E+00
14,4.9000E+02,5.0900E+02,-9.2540E+00,-2.5007E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-7.0949E-02,6.0111E-01,1.0698E+01,2.1198E-02,4.7274E-02,0.0000E+00,4.0000E+00,6.2882E-02,0.0000E+00,0.0000E+00,0.0000E+00
15,4.9000E+02,5.0900E+02,-9.2692E+00,-2.5138E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-7.0844E-02,6.0062E-01,1.0712E+01,2.1097E-02,4.5336E-02,0.0000E+00,4.0000E+00,6.2581E-02,0.0000E+00,0.0000E+00,0.0000E+00
16,4.9000E+02,5.0900E+02,-9.2691E+00,-2.5083E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-7.1125E-02,6.0304E-01,1.0715E+01,2.1996E-02,4.8749E-02,0.0000E+00,4.0000E+00,6.5249E-02,0.0000E+00,0.0000E+00,0.0000E+00
17,4.9000E+02,5.0900E+02,-9.2684E+00,-2.5025E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-7.0855E-02,6.0218E-01,1.0712E+01,2.0927E-02,4.7223E-02,0.0000E+00,4.0000E+00,6.2078E-02,0.0000E+00,0.0000E+00,0.0000E+00
18,4.9000E+02,5.0900E+02,-9.2718E+00,-2.5060E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-6.9977E-02,6.0287E-01,1.0705E+01,2.0870E-02,4.8270E-02,0.0000E+00,4.0000E+00,6.1910E-02,0.0000E+00,0.0000E+00,0.0000E+00
19,4.9000E+02,5.0900E+02,-9.2780E+00,-2.5026E+01,1.6088E+01,-1.1539E+01,-9.4047E-02,-6.9072E-02,6.0247E-01,1.0702E+01,2.0802E-02,4.8363E-02,0.0000E+00,4.0000E+00,6.1708E-02,0.0000E+00,0.0000E+00,0.0000E+00
20,4.9000E+02,5.0900E+02,-3.3816E+00,-9.3187E+00,1.6088E+01,-1.1539E+01,-9.4047E-02,-2.9567E-02,2.2221E-01,4.0036E+00,1.9390E-02,3.6340E-02,0.0000E+00,4.0000E+00,5.7517E-02,0.0000E+00,0.0000E+00,0.0000E+00
21,4.9000E+02,5.0900E+02,-2.4496E-02,-3.4630E-03,1.6088E+01,-1.1539E+01,-9.4047E-02,-3.0619E-04,4.8156E-03,3.0034E-02,1.8627E-02,3.9449E-02,0.0000E+00,4.0000E+00,5.5256E-02,0.0000E+00,0.0000E+00,0.0000E+00
22,4.9000E+02,5.0900E+02,-1.2575E-02,3.4474E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.0715E-03,6.2598E-03,2.5358E-02,1.9592E-02,3.9626E-02,0.0000E+00,4.0000E+00,5.8119E-02,0.0000E+00,0.0000E+00,0.0000E+00
23,4.9000E+02,5.0900E+02,-9.4814E-03,2.8094E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-7.3768E-04,3.2483E-03,1.8765E-02,1.6325E-02,3.7654E-02,0.0000E+00,4.0000E+00,4.8427E-02,0.0000E+00,0.0000E+00,0.0000E+00
24,4.9000E+02,5.0900E+02,1.4829E-02,7.3437E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-2.4485E-03,4.2582E-03,1.1222E-02,1.8686E-02,3.9437E-02,0.0000E+00,4.0000E+00,5.5429E-02,0.0000E+00,0.0000E+00,0.0000E+00
25,4.9000E+02,5.0900E+02,4.5464E-03,2.4274E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-9.3902E-04,2.3101E-03,5.3595E-03,1.8098E-02,4.0833E-02,0.0000E+00,4.0000E+00,5.3686E-02,0.0000E+00,0.0000E+00,0.0000E+00
26,4.9000E+02,5.0900E+02,-4.9057E-03,2.5181E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-2.4701E-04,2.9950E-03,7.8532E-03,1.8421E-02,3.9038E-02,0.0000E+00,4.0000E+00,5.4643E-02,0.0000E+00,0.0000E+00,0.0000E+00
27,4.9000E+02,5.0900E+02,-3.8700E-03,5.3183E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-5.9923E-04,4.7166E-03,1.0572E-02,1.7672E-02,3.8296E-02,0.0000E+00,4.0000E+00,5.2423E-02,0.0000E+00,0.0000E+00,0.0000E+00
28,4.9000E+02,5.0900E+02,-2.2722E-03,2.4622E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.6279E-03,7.0167E-03,1.9785E-02,2.0004E-02,3.8529E-02,0.0000E+00,4.0000E+00,5.9341E-02,0.0000E+00,0.0000E+00,0.0000E+00
29,4.9000E+02,5.0900E+02,1.0423E-02,3.9317E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.6983E-03,3.7345E-03,7.2684E-03,1.7008E-02,3.8017E-02,0.0000E+00,4.0000E+00,5.0452E-02,0.0000E+00,0.0000E+00,0.0000E+00
30,4.9000E+02,5.0900E+02,2.8612E-02,1.0588E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-2.4703E-03,5.3060E-03,-4.2114E-03,1.8312E-02,3.7737E-02,0.0000E+00,4.0000E+00,5.4320E-02,0.0000E+00,0.0000E+00,0.0000E+00
31,4.9000E+02,5.0900E+02,6.9422E-03,1.5634E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-8.3460E-04,7.1893E-03,1.3543E-03,2.0058E-02,3.6747E-02,0.0000E+00,4.0000E+00,5.9499E-02,0.0000E+00,0.0000E+00,0.0000E+00
32,4.9000E+02,5.0900E+02,-9.4549E-03,1.2288E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,2.9722E-05,7.1940E-03,9.5905E-03,1.8646E-02,3.8461E-02,0.0000E+00,4.0000E+00,5.5311E-02,0.0000E+00,0.0000E+00,0.0000E+00
33,4.9000E+02,5.0900E+02,4.2437E-03,6.7005E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-3.4449E-04,4.2326E-03,-1.3658E-03,1.7732E-02,3.7884E-02,0.0000E+00,4.0000E+00,5.2599E-02,0.0000E+00,0.0000E+00,0.0000E+00
34,4.9000E+02,5.0900E+02,2.1116E-02,9.1288E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.5511E-03,4.2346E-03,-6.2441E-03,2.0087E-02,4.0373E-02,0.0000E+00,4.0000E+00,5.9587E-02,0.0000E+00,0.0000E+00,0.0000E+00
35,4.9000E+02,5.0900E+02,-8.2020E-03,8.3900E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-4.2362E-05,7.1947E-03,8.5884E-03,1.9412E-02,3.9002E-02,0.0000E+00,4.0000E+00,5.7583E-02,0.0000E+00,0.0000E+00,0.0000E+00
36,4.9000E+02,5.0900E+02,-1.5663E-02,1.2308E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,1.0594E-03,7.8097E-03,4.4500E-03,1.8039E-02,3.4152E-02,0.0000E+00,4.0000E+00,5.3509E-02,0.0000E+00,0.0000E+00,0.0000E+00
37,4.9000E+02,5.0900E+02,4.8675E-03,1.0076E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-9.5802E-04,7.9709E-03,4.3370E-03,1.7432E-02,4.1319E-02,0.0000E+00,4.0000E+00,5.1711E-02,0.0000E+00,0.0000E+00,0.0000E+00
38,4.9000E+02,5.0900E+02,6.2715E-03,1.1580E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-8.1178E-04,8.0543E-03,1.1614E-03,1.9754E-02,3.5032E-02,0.0000E+00,4.0000E+00,5.8599E-02,0.0000E+00,0.0000E+00,0.0000E+00
39,4.9000E+02,5.0900E+02,-1.5729E-03,1.0315E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-4.3803E-04,6.9022E-03,5.9464E-03,1.8639E-02,3.9684E-02,0.0000E+00,4.0000E+00,5.5289E-02,0.0000E+00,0.0000E+00,0.0000E+00
40,4.9000E+02,5.0900E+02,-1.0376E-02,1.3789E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,1.0830E-03,7.3607E-03,-1.5628E-03,1.9246E-02,3.9239E-02,0.0000E+00,4.0000E+00,5.7091E-02,0.0000E+00,0.0000E+00,0.0000E+00
41,4.9000E+02,5.0900E+02,2.4513E-02,1.2823E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-3.0363E-03,8.0184E-03,6.5057E-03,2.0166E-02,3.8367E-02,0.0000E+00,4.0000E+00,5.9821E-02,0.0000E+00,0.0000E+00,0.0000E+00
42,4.9000E+02,5.0900E+02,-4.8414E-03,1.4131E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,6.1044E-04,6.6046E-03,-2.0869E-03,1.8966E-02,3.9212E-02,0.0000E+00,4.0000E+00,5.6262E-02,0.0000E+00,0.0000E+00,0.0000E+00
43,4.9000E+02,5.0900E+02,-1.1834E-02,8.9006E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-2.0094E-04,8.6958E-03,1.4189E-02,1.8558E-02,3.7374E-02,0.0000E+00,4.0000E+00,5.5051E-02,0.0000E+00,0.0000E+00,0.0000E+00
44,4.9000E+02,5.0900E+02,-5.3794E-03,1.0115E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-6.6333E-04,8.3706E-03,1.2460E-02,2.1199E-02,3.9285E-02,0.0000E+00,4.0000E+00,6.2886E-02,0.0000E+00,0.0000E+00,0.0000E+00
45,4.9000E+02,5.0900E+02,-1.3174E-02,8.8681E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,2.8888E-05,9.1795E-03,1.2885E-02,1.6531E-02,3.3871E-02,0.0000E+00,4.0000E+00,4.9036E-02,0.0000E+00,0.0000E+00,0.0000E+00
46,4.9000E+02,5.0900E+02,-1.9178E-02,1.6375E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,5.7181E-04,9.9284E-03,1.3958E-02,1.8160E-02,4.0828E-02,0.0000E+00,4.0000E+00,5.3869E-02,0.0000E+00,0.0000E+00,0.0000E+00
47,4.9000E+02,5.0900E+02,-1.1747E-02,1.9067E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.2918E-04,1.1585E-02,1.3469E-02,2.0809E-02,3.9978E-02,0.0000E+00,4.0000E+00,6.1726E-02,0.0000E+00,0.0000E+00,0.0000E+00
48,4.9000E+02,5.0900E+02,-2.0553E-03,1.7809E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-4.1679E-04,9.4398E-03,6.2878E-03,1.9537E-02,3.9549E-02,0.0000E+00,4.0000E+00,5.7954E-02,0.0000E+00,0.0000E+00,0.0000E+00
49,4.9000E+02,5.0900E+02,-1.7645E-02,2.2037E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,2.0377E-03,1.0866E-02,-4.6038E-03,2.0105E-02,3.9788E-02,0.0000E+00,4.0000E+00,5.9638E-02,0.0000E+00,0.0000E+00,0.0000E+00
50,4.9000E+02,5.0900E+02,2.0583E-02,2.3176E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,-8.9896E-04,1.0316E-02,-1.3584E-02,1.9063E-02,3.5886E-02,0.0000E+00,4.0000E+00,5.6548E-02,0.0000E+00,0.0000E+00,0.0000E+00
51,4.9000E+02,5.0900E+02,-1.3482E-02,2.3545E-01,1.6088E+01,-1.1539E+01,-9.4047E-02,4.6445E-04,1.1703E-02,8.9520E-03,1.7227E-02,4.0519E-02,0.0000E+00,4.0000E+00,5.1102E-02,0.0000E+00,0.0000E+00,0.0000E+00
52,4.9000E+02,5.0900E+02,1.2337E-01,4.6744E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.2225E-02,6.0347E-03,9.1084E-04,1.8279E-02,3.9503E-02,0.0000E+00,4.0000E+00,5.4221E-02,0.0000E+00,0.0000E+00,0.0000E+00
53,4.9000E+02,5.0900E+02,1.3653E-01,6.0764E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.3444E-02,4.6835E-03,7.1078E-04,1.8693E-02,3.7887E-02,0.0000E+00,4.0000E+00,5.5451E-02,0.0000E+00,0.0000E+00,0.0000E+00
54,4.9000E+02,5.0900E+02,1.4918E-01,7.5243E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.5030E-02,6.4332E-03,4.4594E-03,1.8865E-02,3.9967E-02,0.0000E+00,4.0000E+00,5.5961E-02,0.0000E+00,0.0000E+00,0.0000E+00
55,4.9000E+02,5.0900E+02,1.1104E-01,9.7119E-03,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.2438E-02,6.8612E-03,1.6829E-02,1.7987E-02,3.7758E-02,0.0000E+00,4.0000E+00,5.3355E-02,0.0000E+00,0.0000E+00,0.0000E+00
56,4.9000E+02,5.0900E+02,1.4360E-01,-5.6506E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.4929E-02,2.9394E-03,9.2916E-03,1.9297E-02,3.9513E-02,0.0000E+00,4.0000E+00,5.7242E-02,0.0000E+00,0.0000E+00,0.0000E+00
57,4.9000E+02,5.0900E+02,1.1470E-01,4.8247E-02,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.2338E-02,6.7962E-03,1.1916E-02,1.9757E-02,3.8741E-02,0.0000E+00,4.0000E+00,5.8607E-02,0.0000E+00,0.0000E+00,0.0000E+00
58,4.9000E+02,5.0900E+02,1.0403E-01,-5.6802E-03,1.6088E+01,-1.1539E+01,-9.4047E-02,-1.1952E-02,6.6201E-03,1.9058E-02,1.9397E-02,3.5615E-02,0.0000E+00,4.0000E+00,5.7539E-02,0.0000E+00,0.0000E+00,0.0000E+00
