Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
13.875,0,0,0,0,2147483647
13.875,1.5768,1.41918,1.41901,0.090078,0
13.875,1.33682,1.28309,1.28295,0.050053,0
13.875,1.35467,1.32148,1.32134,0.047481,0
13.875,1.41962,1.34984,1.34968,0.04674,0
13.875,1.35727,1.31113,1.31098,0.052063,0
13.875,1.30953,1.27276,1.2726,0.029993,0
13.875,1.36706,1.30433,1.30413,0.049351,0
13.875,1.39315,1.34759,1.34743,0.021338,0
13.875,1.36788,1.29988,1.29974,0.046684,0
13.875,1.35544,1.32646,1.32631,0.050227,0
13.875,1.3004,1.25089,1.25068,0.010879,0
13.875,1.37534,1.28985,1.28969,0.019707,0
13.875,1.37798,1.29392,1.29376,0.026706,0
13.875,1.35887,1.29604,1.29584,0.047124,0
13.875,1.38097,1.31669,1.31654,0.048023,0
13.875,1.28885,1.25295,1.2528,0.006914,0
13.875,1.46217,1.37645,1.37627,0.051863,0
13.875,1.38859,1.31997,1.31982,0.05169,0
13.875,1.36127,1.33008,1.32994,0.047695,0
13.875,1.39653,1.32621,1.32605,0.048612,0
13.875,1.40937,1.36285,1.36265,0.046921,0
13.875,1.3885,1.33401,1.33384,0.049683,0
13.875,1.40219,1.36009,1.35994,0.051225,0
13.875,1.39118,1.33213,1.33191,0.049713,0
13.875,1.46278,1.32136,1.32113,0.034312,0
13.875,1.3896,1.30193,1.30172,0.033654,0
13.875,1.3913,1.33181,1.33167,0.049241,0
13.875,1.41435,1.38055,1.38028,0.070506,0
13.875,1.34593,1.30021,1.30008,0.047243,0
13.875,1.34593,1.31841,1.31826,0.051181,0
13.875,1.36196,1.33364,1.33349,0.049321,0
13.875,1.33668,1.27141,1.27124,0.006215,0
13.875,1.38476,1.30704,1.30686,0.038095,0
13.875,1.42797,1.34691,1.34676,0.015108,0
13.875,1.33705,1.27187,1.27172,0.048306,0
13.875,1.39344,1.3051,1.30493,0.02753,0
13.875,1.30024,1.25573,1.25558,0.004047,0
13.875,1.4036,1.32103,1.32088,0.0526,0
13.875,1.31535,1.28364,1.2835,0.028096,0
13.875,1.35259,1.26204,1.26181,0.04764,0
13.875,1.40121,1.34478,1.34458,0.050788,0
13.875,1.39192,1.31577,1.31561,0.050177,0
13.875,1.36013,1.31875,1.31861,0.04776,0
13.875,1.36481,1.31494,1.31478,0.051403,0
13.875,1.3049,1.26278,1.26262,0.010868,0
13.875,1.34719,1.26792,1.26777,0.048704,0
13.875,1.38813,1.32019,1.32004,0.046788,0
13.875,1.4039,1.35823,1.35805,0.057295,0
13.875,1.3633,1.31133,1.31111,0.047564,0
13.875,1.37057,1.33076,1.33061,0.050969,0
13.875,1.36303,1.30886,1.30872,0.048391,0
13.875,1.34244,1.29386,1.29371,0.062534,0
13.875,1.34977,1.30853,1.30836,0.04989,0
13.875,1.43212,1.36744,1.36724,0.066696,0
13.875,1.4106,1.3614,1.36125,0.056692,0
13.875,1.32946,1.28291,1.28276,0.004157,0
13.875,1.40883,1.30483,1.30466,0.004355,0
13.875,1.38871,1.33021,1.33,0.068097,0
13.875,1.38655,1.30806,1.30791,0.045923,0
13.875,1.3156,1.27531,1.27517,0.049459,0
13.875,1.32843,1.29409,1.29395,0.046901,0
13.875,1.39439,1.31569,1.31537,0.065721,0
13.875,1.32483,1.28703,1.28688,0.050437,0
13.875,1.43025,1.3936,1.39339,0.04139,0
13.875,1.37154,1.31052,1.31031,0.01562,0
13.875,1.38117,1.31879,1.31863,0.054812,0
13.875,1.3386,1.29137,1.29122,0.047671,0
13.875,1.42648,1.38744,1.38725,0.061623,0
13.875,1.38344,1.34955,1.34933,0.03977,0
13.875,1.3996,1.34547,1.34527,0.05247,0
13.875,1.3423,1.28773,1.2876,0.050176,0
13.875,1.3928,1.32748,1.32732,0.052713,0
13.875,1.33673,1.30203,1.30189,0.011395,0
13.875,1.37781,1.31525,1.31511,0.052964,0
13.875,1.37997,1.33687,1.33673,0.05079,0
13.875,1.36091,1.32703,1.32688,0.056541,0
13.875,1.41224,1.34083,1.34067,0.080853,0
13.875,1.31191,1.26049,1.26034,0.009807,0
13.875,1.30604,1.24315,1.243,0.009763,0
13.875,1.39131,1.31427,1.3141,0.043785,0
13.875,1.33607,1.29862,1.29846,0.020392,0
