BEGIN SUBSET_COORDINATES
    352 518
    382 518
    412 518
    442 518
    472 518
    502 518
    532 518
    352 548
    382 548
    412 548
    442 548
    472 548
    502 548
    532 548
    352 578
    382 578
    412 578
    442 578
    472 578
    502 578
    532 578
    352 608
    382 608
    412 608
    442 608
    472 608
    502 608
    532 608
    352 638
    382 638
    412 638
    442 638
    472 638
    502 638
    532 638
    352 668
    382 668
    412 668
    442 668
    472 668
    502 668
    532 668
    352 698
    382 698
    412 698
    442 698
    472 698
    502 698
    532 698
    352 728
    382 728
    412 728
    442 728
    472 728
    502 728
    532 728
    352 758
    382 758
    412 758
    442 758
    472 758
    502 758
    532 758
    352 788
    382 788
    412 788
    442 788
    472 788
    502 788
    532 788
END
