FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.6800E+02,6.9800E+02,3.2469E-02,2.6488E-02,3.2038E+01,-2.3717E+00,-4.8458E-02,-4.0234E-03,3.3066E-03,3.1326E-03,5.1075E-02,3.9832E-02,0.0000E+00,4.0000E+00,7.0163E-02,-8.9634E-05,-2.1112E-05,1.5139E-06
1,3.6800E+02,6.9800E+02,-6.2814E-02,1.7358E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,-1.2724E-03,1.7905E-02,8.1219E-02,4.2580E-02,4.1298E-02,0.0000E+00,4.0000E+00,5.8494E-02,3.5215E-05,-4.0758E-05,-3.4325E-05
2,3.6800E+02,6.9800E+02,-6.9614E-02,2.5590E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,4.3257E-04,2.0634E-02,7.1965E-02,3.7010E-02,3.6291E-02,0.0000E+00,4.0000E+00,5.0842E-02,-9.9191E-05,4.8015E-05,1.5187E-05
3,3.6800E+02,6.9800E+02,-3.0114E-02,2.8343E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,-1.4088E-03,1.9942E-02,4.6247E-02,4.6462E-02,5.2912E-02,0.0000E+00,4.0000E+00,6.3826E-02,-2.0381E-05,3.0201E-05,2.3582E-05
4,3.6800E+02,6.9800E+02,-9.7171E-02,3.2000E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,3.0388E-03,2.3945E-02,7.6774E-02,4.1065E-02,3.6845E-02,0.0000E+00,4.0000E+00,5.6412E-02,-1.5478E-04,9.8084E-06,-9.0615E-05
5,3.6800E+02,6.9800E+02,-6.1078E-02,3.1779E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,-1.1410E-03,2.3404E-02,7.8203E-02,4.6316E-02,3.4865E-02,0.0000E+00,4.0000E+00,6.3625E-02,-6.1276E-05,-2.4400E-05,1.6978E-05
6,3.6800E+02,6.9800E+02,-8.3019E-02,3.1127E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,8.6553E-04,1.9058E-02,8.4193E-02,4.5385E-02,3.6589E-02,0.0000E+00,4.0000E+00,6.2347E-02,-5.9710E-05,-4.7948E-05,3.5482E-05
7,3.6800E+02,6.9800E+02,-7.0930E-02,3.2360E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,7.6271E-06,2.2212E-02,7.8251E-02,5.6140E-02,4.4014E-02,0.0000E+00,4.0000E+00,7.7121E-02,-7.4921E-05,1.4706E-05,6.4795E-06
8,3.6800E+02,6.9800E+02,-7.3503E-02,3.9748E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,2.7622E-03,2.4585E-02,5.3515E-02,4.3777E-02,3.0070E-02,0.0000E+00,4.0000E+00,6.0137E-02,9.7371E-05,-1.0636E-04,-3.3154E-05
9,3.6800E+02,6.9800E+02,-1.0777E-01,4.2690E-01,3.2038E+01,-2.3717E+00,-4.8458E-02,3.5506E-03,2.5090E-02,8.4871E-02,4.5598E-02,4.6974E-02,0.0000E+00,4.0000E+00,6.2639E-02,-1.1736E-04,-4.4553E-06,-5.0961E-05
