FRAME,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,MODEL_COORDINATES_X,MODEL_COORDINATES_Y,MODEL_COORDINATES_Z,MODEL_DISPLACEMENT_X,MODEL_DISPLACEMENT_Y,MODEL_DISPLACEMENT_Z,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.2000E+02,7.0000E+02,-1.8332E-02,4.2331E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,9.5144E-04,2.8432E-03,1.4813E-02,2.1637E-02,4.4140E-02,0.0000E+00,4.0000E+00,7.2416E-02,0.0000E+00,0.0000E+00,0.0000E+00
1,4.2000E+02,7.0000E+02,3.1796E-02,-5.0149E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-4.6534E-03,3.6835E-05,1.2569E-02,2.0487E-02,4.3466E-02,0.0000E+00,4.0000E+00,6.8567E-02,0.0000E+00,0.0000E+00,0.0000E+00
2,4.2000E+02,7.0000E+02,2.0122E-02,-5.6821E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-3.1837E-03,8.8028E-04,1.0151E-02,1.7621E-02,4.3864E-02,0.0000E+00,4.0000E+00,5.8977E-02,0.0000E+00,0.0000E+00,0.0000E+00
3,4.2000E+02,7.0000E+02,5.2222E-02,-6.3459E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-6.1116E-03,3.2876E-04,5.2699E-04,1.9229E-02,4.1277E-02,0.0000E+00,4.0000E+00,6.4357E-02,0.0000E+00,0.0000E+00,0.0000E+00
4,4.2000E+02,7.0000E+02,2.3004E-02,-5.7121E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-3.2040E-03,-1.1964E-03,7.0202E-03,2.0738E-02,4.1936E-02,0.0000E+00,4.0000E+00,6.9407E-02,0.0000E+00,0.0000E+00,0.0000E+00
5,4.2000E+02,7.0000E+02,3.6359E-02,-2.9559E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-5.0685E-03,2.0562E-03,1.0689E-02,1.9274E-02,4.6729E-02,0.0000E+00,4.0000E+00,6.4508E-02,0.0000E+00,0.0000E+00,0.0000E+00
6,4.2000E+02,7.0000E+02,1.7683E-02,-5.6462E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-1.5132E-03,-3.3090E-03,-6.4334E-03,2.1006E-02,4.4507E-02,0.0000E+00,4.0000E+00,7.0306E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,4.2000E+02,7.0000E+02,4.8102E-02,-3.4238E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-4.6768E-03,-8.9468E-04,-1.1100E-02,1.7888E-02,4.3000E-02,0.0000E+00,4.0000E+00,5.9869E-02,0.0000E+00,0.0000E+00,0.0000E+00
8,4.2000E+02,7.0000E+02,7.5753E-03,-3.1120E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-2.3128E-03,1.4574E-03,1.7927E-02,1.9665E-02,4.3762E-02,0.0000E+00,4.0000E+00,6.5818E-02,0.0000E+00,0.0000E+00,0.0000E+00
9,4.2000E+02,7.0000E+02,2.6293E-02,-3.8337E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-2.3005E-03,-1.5459E-03,-9.4366E-03,2.0652E-02,4.2381E-02,0.0000E+00,4.0000E+00,6.9121E-02,0.0000E+00,0.0000E+00,0.0000E+00
10,4.2000E+02,7.0000E+02,2.1867E-02,-1.0432E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-2.5652E-03,2.1404E-03,-2.7907E-04,2.0206E-02,4.4641E-02,0.0000E+00,4.0000E+00,6.7627E-02,0.0000E+00,0.0000E+00,0.0000E+00
11,4.2000E+02,7.0000E+02,2.9032E-02,2.9133E-02,2.6687E+01,-2.3420E+00,-1.1891E-01,-3.3809E-03,2.1286E-03,6.3798E-04,1.8015E-02,3.8978E-02,0.0000E+00,4.0000E+00,6.0295E-02,0.0000E+00,0.0000E+00,0.0000E+00
12,4.2000E+02,7.0000E+02,3.8875E-02,3.7579E-03,2.6687E+01,-2.3420E+00,-1.1891E-01,-4.3146E-03,9.5746E-04,-1.9006E-03,1.9071E-02,4.6366E-02,0.0000E+00,4.0000E+00,6.3829E-02,0.0000E+00,0.0000E+00,0.0000E+00
