Cross Correlation and Triangulations,Entire Process,Correlation Loop,Correlation Process,Write Process,Hz
12.2102,0,0,0,0,2147483647
12.2102,1.20864,1.0534,1.05321,0.117499,0
12.2102,0.980961,0.91691,0.916706,0.027356,1
12.2102,0.925335,0.894809,0.894651,0.060032,1
12.2102,0.960958,0.86792,0.867669,0.058787,1
12.2102,1.05579,0.978386,0.978213,0.06715,0
12.2102,1.00709,0.960659,0.960492,0.069582,0
12.2102,1.03086,0.966191,0.965972,0.067507,0
12.2102,0.942479,0.904564,0.904288,0.055883,1
12.2102,0.951806,0.912027,0.911828,0.046013,1
12.2102,0.947834,0.910635,0.910483,0.04983,1
12.2102,1.01172,0.944324,0.944156,0.059984,0
12.2102,0.873003,0.838564,0.838414,0.004523,1
12.2102,1.00368,0.88959,0.889294,0.057566,0
12.2102,0.904149,0.866606,0.866451,0.045572,1
12.2102,0.98801,0.921005,0.920477,0.075947,1
12.2102,0.939525,0.898337,0.89818,0.052533,1
12.2102,0.983279,0.913104,0.912862,0.048561,1
12.2102,1.00876,0.937428,0.937184,0.067736,0
12.2102,0.980476,0.939269,0.938789,0.058863,1
12.2102,0.961471,0.911867,0.911666,0.058063,1
12.2102,0.907634,0.86233,0.86215,0.004565,1
12.2102,1.00625,0.874042,0.873828,0.048575,0
12.2102,0.940996,0.898314,0.898112,0.062544,1
12.2102,0.975877,0.939981,0.93963,0.071058,1
12.2102,0.894916,0.854733,0.854574,0.017273,1
12.2102,0.99108,0.915648,0.915477,0.058651,1
12.2102,0.950769,0.913897,0.913748,0.059827,1
12.2102,0.962532,0.920728,0.920532,0.078369,1
12.2102,0.888815,0.858972,0.858772,0.010051,1
12.2102,1.00713,0.87297,0.872809,0.008759,0
12.2102,0.909125,0.849654,0.849479,0.007301,1
12.2102,0.942818,0.859398,0.859233,0.004573,1
12.2102,1.00908,0.910975,0.910813,0.070959,0
12.2102,0.932746,0.886831,0.88667,0.056406,1
12.2102,0.892574,0.83533,0.835177,0.005689,1
12.2102,0.970878,0.886693,0.886491,0.065084,1
12.2102,0.933902,0.876967,0.87681,0.01722,1
12.2102,0.936168,0.866245,0.866087,0.006136,1
